GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,12,187,1,5,2,56,1,29,0,27
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,69,75,6,4,8,17,4,5,0,4
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,102,17,20,0,17,8,14,5,4,5
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,140,25,5,1,36,8,5,3,2,3
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,11,0,0,0,4,0,2,0,2,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.Element,3,82,0,0,1,18,1,17,1,17
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,165,223,37,17,23,41,28,8,1,8
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler.Element,8,27,0,0,2,7,2,6,2,6
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler,15,236,4,30,1,50,4,17,0,4
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,41,0,0,0,17,0,11,0,11
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.AttributeValues,3,0,0,0,1,0,1,0,1,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,32,106,0,0,6,31,1,6,1,6
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,21,90,1,3,5,23,4,10,3,9
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler,37,501,6,80,9,111,8,45,2,8
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersionUtil,17,105,5,21,4,32,5,13,1,4
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,ExtractionUtil,747,84,110,10,89,13,67,2,7,2
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,Filter.FilterIterator,8,52,2,8,2,17,3,7,1,4
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,DateUtil,3,21,0,2,2,2,1,2,1,1
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,UrlStringUtils,14,174,3,15,3,27,3,11,1,4
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,H2DBLock,256,281,49,25,40,65,39,7,2,7
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,H2DBCleanupHook,15,20,2,0,6,8,2,4,1,4
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
